group,model,label,n,target_effect_mean,target_positive_frac,target_minus_wrong_mean,rank_effect_mean
model,gemma,gemma,64,2.8792190551757812,0.609375,4.844062805175781,3734.09375
model,qwen,qwen,240,0.64609375,0.6458333333333334,-0.48020833333333335,42.19583333333333
sample_id,gemma,okvqa_val_00893,16,8.134063720703125,0.75,13.040313720703125,13014.8125
sample_id,gemma,okvqa_val_02108,16,-1.57421875,0.125,1.67578125,-2023.9375
sample_id,gemma,okvqa_val_1295955,16,2.8984375,0.75,3.1328125,3366.75
sample_id,gemma,okvqa_val_258605,16,2.05859375,0.8125,1.52734375,578.75
sample_id,qwen,okvqa_val_00310,48,1.5364583333333333,0.8541666666666666,1.1419270833333333,126.4375
sample_id,qwen,okvqa_val_00893,48,0.8411458333333334,0.6875,-3.5533854166666665,64.0
sample_id,qwen,okvqa_val_02108,48,-1.33203125,0.0625,-0.4127604166666667,-5.583333333333333
sample_id,qwen,okvqa_val_1295955,48,0.8450520833333334,0.8125,-0.006510416666666667,9.208333333333334
sample_id,qwen,okvqa_val_258605,48,1.33984375,0.8125,0.4296875,16.916666666666668
mask_condition,gemma,answer_mask,16,2.984375,0.625,4.6875,2169.875
mask_condition,gemma,shifted_mask,16,3.450469970703125,0.6875,5.528594970703125,7872.9375
mask_condition,gemma,shuffled_mask,16,2.09765625,0.5,4.47265625,2723.6875
mask_condition,gemma,union_mask,16,2.984375,0.625,4.6875,2169.875
mask_condition,qwen,answer_mask,60,0.8567708333333334,0.6333333333333333,-0.1734375,70.81666666666666
mask_condition,qwen,shifted_mask,60,0.7510416666666667,0.6666666666666666,-0.465625,26.583333333333332
mask_condition,qwen,shuffled_mask,60,0.11979166666666667,0.65,-1.1083333333333334,0.5666666666666667
mask_condition,qwen,union_mask,60,0.8567708333333334,0.6333333333333333,-0.1734375,70.81666666666666
position_group,gemma,answer_adjacent,16,-0.1552276611328125,0.375,-0.0458526611328125,-25.3125
position_group,gemma,top_hidden_delta,16,0.7774200439453125,0.5625,4.6680450439453125,-952.25
position_group,gemma,visual+answer,16,5.4532012939453125,0.75,7.4063262939453125,7975.1875
position_group,gemma,visual_span,16,5.4414825439453125,0.75,7.3477325439453125,7938.75
position_group,qwen,answer_adjacent,60,-0.0234375,0.48333333333333334,0.5390625,24.666666666666668
position_group,qwen,top_hidden_delta,60,0.12447916666666667,0.5666666666666667,-1.0671875,28.633333333333333
position_group,qwen,visual+answer,60,1.0739583333333333,0.7333333333333333,-0.6864583333333333,58.55
position_group,qwen,visual_span,60,1.409375,0.8,-0.70625,56.93333333333333
